Week,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
5,Wed,25/09/2019,19:00 (18:00),Roma,1.7,0â€“2,1.9,Atalanta,"31,832",Stadio Olimpico,Massimiliano Irrati
5,Wed,25/09/2019,21:00 (20:00),Fiorentina,1.9,2â€“1,0.6,Sampdoria,"33,469",Stadio Artemio Franchi,Daniele Doveri
5,Wed,25/09/2019,21:00 (20:00),Napoli,2.1,0â€“1,0.3,Cagliari,"25,408",Stadio San Paolo,Marco Di Bello
5,Wed,25/09/2019,21:00 (20:00),Genoa,0.2,0â€“0,1.7,Bologna,"20,497",Stadio Comunale Luigi Ferraris,Davide Massa
5,Wed,25/09/2019,21:00 (20:00),Inter,1.4,1â€“0,1.1,Lazio,"56,175",Stadio Giuseppe Meazza,Fabio Maresca
5,Wed,25/09/2019,21:00 (20:00),SPAL,1.1,1â€“3,2,Lecce,"13,292",Stadio Paolo Mazza,Gianluca Rocchi
5,Wed,25/09/2019,21:00 (20:00),Parma,1.5,1â€“0,0.5,Sassuolo,"14,569",Stadio Ennio Tardini,Livio Marinelli
5,Thu,26/09/2019,21:00 (20:00),Torino,1.3,2â€“1,2.1,Milan,"23,997",Stadio Olimpico di Torino,Marco Guida
6,Sat,28/09/2019,15:00 (14:00),Juventus,2,2â€“0,0.3,SPAL,"38,995",Allianz Stadium,Marco Piccinini
6,Sat,28/09/2019,18:00 (17:00),Sampdoria,1.4,1â€“3,2.4,Inter,"23,694",Stadio Comunale Luigi Ferraris,Giampaolo Calvarese
6,Sat,28/09/2019,20:45 (19:45),Sassuolo,0.6,1â€“4,2.1,Atalanta,"11,604",Stadio Città del Tricolore,Paolo Valeri
6,Sun,29/09/2019,12:30 (11:30),Napoli,2,2â€“1,1,Brescia,"45,770",Stadio San Paolo,Gianluca Manganiello
6,Sun,29/09/2019,15:00 (14:00),Udinese,0.6,1â€“0,1.2,Bologna,"21,361",Dacia Arena,Antonio Giua
6,Sun,29/09/2019,15:00 (14:00),Lecce,0.8,0â€“1,2.5,Roma,"26,044",Stadio Comunale Via Del Mare,Rosario Abisso
6,Sun,29/09/2019,15:00 (14:00),Lazio,1.4,4â€“0,0.5,Genoa,"26,000",Stadio Olimpico,Luca Pairetto
6,Sun,29/09/2019,18:00 (17:00),Cagliari,1.3,1â€“1,1.5,Hellas Verona,"15,846",Sardegna Arena,Manuel Volpi
6,Sun,29/09/2019,20:45 (19:45),Milan,0.8,1â€“3,2.4,Fiorentina,"48,367",Stadio Giuseppe Meazza,Piero Giacomelli
6,Mon,30/09/2019,20:45 (19:45),Parma,3.4,3â€“2,1.6,Torino,"15,001",Stadio Ennio Tardini,Federico La Penna
7,Sat,05/10/2019,15:00 (14:00),SPAL,1.5,1â€“0,0.3,Parma,"11,776",Stadio Paolo Mazza,Marco Guida
7,Sat,05/10/2019,18:00 (17:00),Hellas Verona,0.8,2â€“0,0.7,Sampdoria,"17,787",Stadio Marc'Antonio Bentegodi,Michael Fabbri
7,Sat,05/10/2019,20:45 (19:45),Genoa,1.8,1â€“2,1.3,Milan,"22,486",Stadio Comunale Luigi Ferraris,Maurizio Mariani
7,Sun,06/10/2019,12:30 (11:30),Fiorentina,0.9,1â€“0,0.7,Udinese,"37,963",Stadio Artemio Franchi,Alessandro Prontera
7,Sun,06/10/2019,15:00 (14:00),Bologna,1.5,2â€“2,1.9,Lazio,"22,052",Stadio Renato Dall'Ara,Daniele Orsato
7,Sun,06/10/2019,15:00 (14:00),Roma,1.4,1â€“1,1.2,Cagliari,"34,385",Stadio Olimpico,Davide Massa
7,Sun,06/10/2019,15:00 (14:00),Atalanta,3.7,3â€“1,1,Lecce,"20,771",Stadio Atleti Azzurri d'Italia,Marco Di Bello
7,Sun,06/10/2019,18:00 (17:00),Torino,0.6,0â€“0,1.2,Napoli,"24,343",Stadio Olimpico di Torino,Daniele Doveri
7,Sun,06/10/2019,20:45 (19:45),Inter,1.6,1â€“2,1.4,Juventus,"75,923",Stadio Giuseppe Meazza,Gianluca Rocchi
8,Sat,19/10/2019,15:00 (14:00),Lazio,2.6,3â€“3,2.7,Atalanta,"30,000",Stadio Olimpico,Gianluca Rocchi
8,Sat,19/10/2019,18:00 (17:00),Napoli,1.8,2â€“0,1.3,Hellas Verona,"38,686",Stadio San Paolo,Marco Piccinini
8,Sat,19/10/2019,20:45 (19:45),Juventus,2.1,2â€“1,0.6,Bologna,"40,461",Allianz Stadium,Massimiliano Irrati
8,Sun,20/10/2019,12:30 (11:30),Sassuolo,1,3â€“4,3.1,Inter,"17,935",Stadio Città del Tricolore,Piero Giacomelli
