Week,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
5,Sun,27/09/2020,21:00 (20:00),Reims,0.2,0â€“2,4.4,Paris S-G,,Stade Auguste-Delaune II,Ruddy Buquet
6,Fri,02/10/2020,21:00 (20:00),Paris S-G,2.1,6â€“1,0.9,Angers,,Parc des Princes,Franck Schneider
6,Sat,03/10/2020,17:00 (16:00),Lens,1.9,2â€“0,0.1,Saint-Étienne,,Stade Bollaert-Delelis,Bastien Dechepy
6,Sat,03/10/2020,21:00 (20:00),Nice,2.1,2â€“1,1.3,Nantes,,Stade de Nice,Jérôme Brisard
6,Sun,04/10/2020,13:00 (12:00),Montpellier,0.7,0â€“1,0.5,Nîmes,,Stade de la Mosson, Benoît Millot
6,Sun,04/10/2020,15:00 (14:00),Bordeaux,1.5,3â€“0,0.3,Dijon,,Stade Matmut-Atlantique,Antony Gautier
6,Sun,04/10/2020,15:00 (14:00),Brest,1,1â€“0,1.1,Monaco,,Stade Francis-Le Blé,Johan Hamel
6,Sun,04/10/2020,15:00 (14:00),Metz,1.7,3â€“1,0.8,Lorient,,Stade Saint-Symphorien, Jérôme Miguelgorry
6,Sun,04/10/2020,15:00 (14:00),Strasbourg,1.7,0â€“3,1.9,Lille,,Stade de la Meinau,Mikael Lesage
6,Sun,04/10/2020,17:00 (16:00),Rennes,2,2â€“2,1.2,Reims,,Roazhon Park,Florent Batta
6,Sun,04/10/2020,21:00 (20:00),Lyon,3.2,1â€“1,0.2,Marseille,,Groupama Stadium,Stéphanie Frappart
7,Fri,16/10/2020,19:00 (18:00),Dijon,0.9,1â€“1,1,Rennes,, Stade Gaston Gérard,Bastien Dechepy
7,Fri,16/10/2020,21:00 (20:00),Nîmes,0.1,0â€“4,4.3,Paris S-G,,Stade des Costières,Clément Turpin
7,Sat,17/10/2020,17:00 (16:00),Reims,0.4,1â€“3,2.6,Lorient,,Stade Auguste-Delaune II,Mikael Lesage
7,Sat,17/10/2020,21:00 (20:00),Marseille,1,3â€“1,0.6,Bordeaux,,Orange Vélodrome,Franck Schneider
7,Sun,18/10/2020,13:00 (12:00),Strasbourg,2.1,2â€“3,3.9,Lyon,,Stade de la Meinau,Ruddy Buquet
7,Sun,18/10/2020,15:00 (14:00),Angers,1.1,1â€“1,1.2,Metz,,Stade Raymond Kopa, Aurélien Petit
7,Sun,18/10/2020,15:00 (14:00),Nantes,1.8,3â€“1,1.1,Brest,,Stade de la Beaujoire - Louis Fonteneau,Jérémie Pignard
7,Sun,18/10/2020,15:00 (14:00),Monaco,2.1,1â€“1,0.2,Montpellier,,Stade Louis II.,Hakim Ben El Hadj Salem
7,Sun,18/10/2020,17:00 (16:00),Saint-Étienne,0.8,1â€“3,2.3,Nice,,Stade Geoffroy-Guichard,Amaury Delerue
7,Sun,18/10/2020,21:00 (20:00),Lille,2.6,4â€“0,0.4,Lens,,Stade Pierre-Mauroy, François Letexier
8,Fri,23/10/2020,21:00 (20:00),Rennes,1,1â€“2,1.4,Angers,,Roazhon Park,Jérémie Pignard
