Week,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
5,Sun,22/09/2019,15:30 (14:30),M'Gladbach,2.8,2â€“1,0.9, Düsseldorf,"52,413",Stadion im Borussia-Park,Christian Dingert
5,Sun,22/09/2019,18:00 (17:00),Eint Frankfurt,1.1,2â€“2,2.2,Dortmund,"51,500",Commerzbank-Arena,Markus Schmidt
5,Mon,23/09/2019,20:30 (19:30),Wolfsburg,1.2,1â€“1,0.7,Hoffenheim,"21,120",Volkswagen Arena,Benjamin Cortus
6,Fri,27/09/2019,20:30 (19:30),Union Berlin,0.6,1â€“2,1.5,Eint Frankfurt,"22,012",Stadion An der Alten Försterei,Sascha Stegemann
6,Sat,28/09/2019,15:30 (14:30),Augsburg,0.3,0â€“3,1.2,Leverkusen,"27,113",WWK Arena,Robert Kampka
6,Sat,28/09/2019,15:30 (14:30),Mainz 05,0.7,0â€“1,0.4,Wolfsburg,"24,303",Opel Arena,Felix Brych
6,Sat,28/09/2019,15:30 (14:30),Hoffenheim,1.5,0â€“3,2.2,M'Gladbach,"29,030",PreZero Arena,Harm Osmers
6,Sat,28/09/2019,15:30 (14:30),Paderborn 07,0.3,2â€“3,3.5,Bayern Munich,"15,000",Benteler-Arena,Felix Zwayer
6,Sat,28/09/2019,15:30 (14:30),RB Leipzig,1.6,1â€“3,2.6,Schalke 04,"42,146",Red Bull Arena,Manuel GrÃ¤fe
6,Sat,28/09/2019,18:30 (17:30),Dortmund,2.1,2â€“2,1.4,Werder Bremen,"81,365",Signal Iduna Park,Deniz Aytekin
6,Sun,29/09/2019,15:30 (14:30), Düsseldorf,1.3,1â€“2,1.6,Freiburg,"39,244",Merkur Spielarena,Daniel Siebert
6,Sun,29/09/2019,18:00 (17:00), Köln,0.8,0â€“4,1.5,Hertha BSC,"49,700",RheinEnergieSTADION,Sören Storks
7,Fri,04/10/2019,20:30 (19:30),Hertha BSC,1.7,3â€“1,1.2, Düsseldorf,"37,128",Olympiastadion Berlin,Martin Petersen
7,Sat,05/10/2019,15:30 (14:30),Paderborn 07,1.6,1â€“2,2.7,Mainz 05,"14,217",Benteler-Arena,Patrick Ittrich
7,Sat,05/10/2019,15:30 (14:30),Freiburg,0.4,2â€“2,0.7,Dortmund,"24,000",Schwarzwald-Stadion,Sven Jablonski
7,Sat,05/10/2019,15:30 (14:30),Bayern Munich,1.5,1â€“2,0.8,Hoffenheim,"75,000",Allianz Arena,Tobias Stieler
7,Sat,05/10/2019,15:30 (14:30),Leverkusen,1.3,1â€“1,1.5,RB Leipzig,"26,355",BayArena,Marco Fritz
7,Sat,05/10/2019,18:30 (17:30),Schalke 04,1.6,1â€“1,0.6, Köln,"61,883",Veltins-Arena,Tobias Welz
7,Sun,06/10/2019,13:30 (12:30),M'Gladbach,3,5â€“1,1.2,Augsburg,"50,352",Stadion im Borussia-Park, Robert Schröder
7,Sun,06/10/2019,15:30 (14:30),Wolfsburg,2.3,1â€“0,0.5,Union Berlin,"27,012",Volkswagen Arena,Bastian Dankert
7,Sun,06/10/2019,18:00 (17:00),Eint Frankfurt,2.1,2â€“2,1.7,Werder Bremen,"51,500",Commerzbank-Arena,Guido Winkmann
8,Fri,18/10/2019,20:30 (19:30),Eint Frankfurt,2.5,3â€“0,1.5,Leverkusen,"50,800",Commerzbank-Arena,Christian Dingert
8,Sat,19/10/2019,15:30 (14:30),Werder Bremen,1,1â€“1,0.5,Hertha BSC,"41,447",Weserstadion,Felix Brych
8,Sat,19/10/2019,15:30 (14:30),RB Leipzig,1.3,1â€“1,1.5,Wolfsburg,"39,182",Red Bull Arena,Deniz Aytekin
8,Sat,19/10/2019,15:30 (14:30),Augsburg,2,2â€“2,2.8,Bayern Munich,"30,660",WWK Arena,Daniel Siebert
8,Sat,19/10/2019,15:30 (14:30), Düsseldorf,1.3,1â€“0,0.2,Mainz 05,"40,660",Merkur Spielarena,Felix Zwayer
8,Sat,19/10/2019,15:30 (14:30),Union Berlin,1,2â€“0,0.5,Freiburg,"22,012",Stadion An der Alten Försterei,Benjamin Cortus
8,Sat,19/10/2019,18:30 (17:30),Dortmund,2.2,1â€“0,2.5,M'Gladbach,"81,365",Signal Iduna Park,Sascha Stegemann
8,Sun,20/10/2019,15:30 (14:30), Köln,2.3,3â€“0,0.4,Paderborn 07,"50,000",RheinEnergieSTADION,Manuel GrÃ¤fe
8,Sun,20/10/2019,18:00 (17:00),Hoffenheim,1.1,2â€“0,1.1,Schalke 04,"29,477",PreZero Arena,Robert Hartmann
9,Fri,25/10/2019,20:30 (19:30),Mainz 05,1.5,3â€“1,1.9, Köln,"31,999",Opel Arena,Frank Willenborg
9,Sat,26/10/2019,15:30 (14:30),Paderborn 07,0.7,2â€“0,1.4, Düsseldorf,"14,182",Benteler-Arena,Bastian Dankert
9,Sat,26/10/2019,15:30 (14:30),Freiburg,1.6,2â€“1,2.1,RB Leipzig,"24,000",Schwarzwald-Stadion,Harm Osmers
9,Sat,26/10/2019,15:30 (14:30),Bayern Munich,3.3,2â€“1,1.6,Union Berlin,"75,000",Allianz Arena,Marco Fritz
9,Sat,26/10/2019,15:30 (14:30),Hertha BSC,2.2,2â€“3,2.2,Hoffenheim,"44,702",Olympiastadion Berlin,Markus Schmidt
9,Sat,26/10/2019,15:30 (14:30),Schalke 04,1.1,0â€“0,0.4,Dortmund,"61,873",Veltins-Arena,Felix Brych
9,Sat,26/10/2019,18:30 (17:30),Leverkusen,1.7,2â€“2,0.9,Werder Bremen,"30,210",BayArena,Martin Petersen
9,Sun,27/10/2019,15:30 (14:30),Wolfsburg,0.8,0â€“0,0.8,Augsburg,"22,630",Volkswagen Arena,Tobias Stieler
9,Sun,27/10/2019,18:00 (17:00),M'Gladbach,1.8,4â€“2,1,Eint Frankfurt,"52,300",Stadion im Borussia-Park,Daniel Schlager
10,Fri,01/11/2019,20:30 (19:30),Hoffenheim,1.7,3â€“0,0.4,Paderborn 07,"23,629",PreZero Arena, Robert Schröder
10,Sat,02/11/2019,15:30 (14:30),Dortmund,1.8,3â€“0,1.6,Wolfsburg,"80,200",Signal Iduna Park,Tobias Welz
10,Sat,02/11/2019,15:30 (14:30),Leverkusen,2.9,1â€“2,2.2,M'Gladbach,"30,210",BayArena,Daniel Siebert
10,Sat,02/11/2019,15:30 (14:30),Eint Frankfurt,2.7,5â€“1,1.1,Bayern Munich,"51,500",Commerzbank-Arena,Markus Schmidt
10,Sat,02/11/2019,15:30 (14:30),Werder Bremen,1.8,2â€“2,1,Freiburg,"41,000",Weserstadion,Christian Dingert
10,Sat,02/11/2019,15:30 (14:30),RB Leipzig,3.6,8â€“0,0.8,Mainz 05,"38,517",Red Bull Arena,Guido Winkmann
10,Sat,02/11/2019,18:30 (17:30),Union Berlin,1.2,1â€“0,0.4,Hertha BSC,"22,012",Stadion An der Alten Försterei,Deniz Aytekin
10,Sun,03/11/2019,15:30 (14:30), Düsseldorf,1.8,2â€“0,0.7, Köln,"51,155",Merkur Spielarena,Sven Jablonski
10,Sun,03/11/2019,18:00 (17:00),Augsburg,1.8,2â€“3,0.5,Schalke 04,"30,361",WWK Arena,Patrick Ittrich
11,Fri,08/11/2019,20:30 (19:30), Köln,0.7,1â€“2,1.8,Hoffenheim,"49,100",RheinEnergieSTADION,Robert Kampka
11,Sat,09/11/2019,15:30 (14:30),Mainz 05,1.8,2â€“3,1,Union Berlin,"24,349",Opel Arena,Harm Osmers
11,Sat,09/11/2019,15:30 (14:30),Hertha BSC,0.4,2â€“4,2,RB Leipzig,"48,532",Olympiastadion Berlin,Sören Storks
11,Sat,09/11/2019,15:30 (14:30),Paderborn 07,1.2,0â€“1,1,Augsburg,"13,758",Benteler-Arena,Marco Fritz
11,Sat,09/11/2019,15:30 (14:30),Schalke 04,1.6,3â€“3,1.7, Düsseldorf,"61,831",Veltins-Arena,Robert Hartmann
11,Sat,09/11/2019,18:30 (17:30),Bayern Munich,3.1,4â€“0,0.5,Dortmund,"75,000",Allianz Arena,Felix Zwayer
11,Sun,10/11/2019,13:30 (12:30),M'Gladbach,1.4,3â€“1,1.7,Werder Bremen,"54,022",Stadion im Borussia-Park,Tobias Stieler
11,Sun,10/11/2019,15:30 (14:30),Wolfsburg,0.8,0â€“2,1.6,Leverkusen,"24,112",Volkswagen Arena,Manuel GrÃ¤fe
11,Sun,10/11/2019,18:00 (17:00),Freiburg,0.9,1â€“0,1,Eint Frankfurt,"24,000",Schwarzwald-Stadion,Felix Brych
12,Fri,22/11/2019,20:30 (19:30),Dortmund,2.5,3â€“3,1.6,Paderborn 07,"81,365",Signal Iduna Park,Christian Dingert
12,Sat,23/11/2019,15:30 (14:30), Düsseldorf,0.7,0â€“4,3.5,Bayern Munich,"53,000",Merkur Spielarena,Frank Willenborg
12,Sat,23/11/2019,15:30 (14:30),Union Berlin,1.6,2â€“0,1,M'Gladbach,"22,012",Stadion An der Alten Försterei,Felix Brych
12,Sat,23/11/2019,15:30 (14:30),Leverkusen,3.5,1â€“1,1.2,Freiburg,"29,032",BayArena,Deniz Aytekin
12,Sat,23/11/2019,15:30 (14:30),Eint Frankfurt,1,0â€“2,1.1,Wolfsburg,"50,700",Commerzbank-Arena,Daniel Siebert
12,Sat,23/11/2019,15:30 (14:30),Werder Bremen,1.7,1â€“2,0.5,Schalke 04,"42,100",Weserstadion,Benjamin Cortus
12,Sat,23/11/2019,18:30 (17:30),RB Leipzig,2.3,4â€“1,0.4, Köln,"42,036",Red Bull Arena, Robert Schröder
12,Sun,24/11/2019,15:30 (14:30),Augsburg,2.3,4â€“0,0.4,Hertha BSC,"29,233",WWK Arena,Sascha Stegemann
12,Sun,24/11/2019,18:00 (17:00),Hoffenheim,2,1â€“5,1.9,Mainz 05,"23,129",PreZero Arena,Bastian Dankert
13,Fri,29/11/2019,20:30 (19:30),Schalke 04,1.6,2â€“1,1.8,Union Berlin,"61,837",Veltins-Arena,Daniel Schlager
13,Sat,30/11/2019,15:30 (14:30),Hoffenheim,1.6,1â€“1,1, Düsseldorf,"25,427",PreZero Arena,Martin Petersen
13,Sat,30/11/2019,15:30 (14:30), Köln,1.4,1â€“1,1.8,Augsburg,"49,200",RheinEnergieSTADION,Tobias Stieler
13,Sat,30/11/2019,15:30 (14:30),Hertha BSC,1.2,1â€“2,1.2,Dortmund,"74,667",Olympiastadion Berlin,Sven Jablonski
13,Sat,30/11/2019,15:30 (14:30),Paderborn 07,1.6,2â€“3,2.4,RB Leipzig,"13,253",Benteler-Arena,Bibiana Steinhaus
13,Sat,30/11/2019,18:30 (17:30),Bayern Munich,2.6,1â€“2,1.3,Leverkusen,"75,000",Allianz Arena,Guido Winkmann
13,Sun,01/12/2019,15:30 (14:30),M'Gladbach,4.9,4â€“2,1.3,Freiburg,"51,080",Stadion im Borussia-Park,Felix Zwayer
13,Sun,01/12/2019,18:00 (17:00),Wolfsburg,2.2,2â€“3,1.3,Werder Bremen,"26,012",Volkswagen Arena,Robert Kampka
13,Mon,02/12/2019,20:30 (19:30),Mainz 05,2.1,2â€“1,1.1,Eint Frankfurt,"33,134",Opel Arena,Manuel GrÃ¤fe
14,Fri,06/12/2019,20:30 (19:30),Eint Frankfurt,2.5,2â€“2,1.3,Hertha BSC,"50,000",Commerzbank-Arena,Christian Dingert
14,Sat,07/12/2019,15:30 (14:30),RB Leipzig,3.8,3â€“1,1.1,Hoffenheim,"38,407",Red Bull Arena,Deniz Aytekin
14,Sat,07/12/2019,15:30 (14:30),Augsburg,3.2,2â€“1,0.4,Mainz 05,"26,950",WWK Arena,Markus Schmidt
14,Sat,07/12/2019,15:30 (14:30),Dortmund,3,5â€“0,0.1, Düsseldorf,"81,365",Signal Iduna Park,Daniel Siebert
14,Sat,07/12/2019,15:30 (14:30),M'Gladbach,1.3,2â€“1,1.7,Bayern Munich,"54,022",Stadion im Borussia-Park,Marco Fritz
14,Sat,07/12/2019,15:30 (14:30),Freiburg,0.4,1â€“0,1.2,Wolfsburg,"23,800",Schwarzwald-Stadion,Bastian Dankert
14,Sat,07/12/2019,18:30 (17:30),Leverkusen,2.3,2â€“1,1.1,Schalke 04,"30,210",BayArena,Harm Osmers
14,Sun,08/12/2019,15:30 (14:30),Union Berlin,2,2â€“0,1.1, Köln,"22,012",Stadion An der Alten Försterei,Patrick Ittrich
14,Sun,08/12/2019,18:00 (17:00),Werder Bremen,0.9,0â€“1,1.3,Paderborn 07,"39,870",Weserstadion,Sascha Stegemann
15,Fri,13/12/2019,20:30 (19:30),Hoffenheim,2.1,2â€“4,2.2,Augsburg,"23,309",PreZero Arena,Bibiana Steinhaus
15,Sat,14/12/2019,15:30 (14:30),Hertha BSC,0.7,1â€“0,0.8,Freiburg,"37,343",Olympiastadion Berlin,Frank Willenborg
