Week,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
32,Sat,27/06/2020,19:30 (18:30),Osasuna,0.7,2â€“1,1.4,Leganés,,Estadio El Sadar,Alberola Rojas
32,Sat,27/06/2020,22:00 (21:00),Atlético Madrid,1.5,2â€“1,1,Alavés,,Estadio Wanda Metropolitano,Mario Melero
32,Sun,28/06/2020,14:00 (13:00),Levante,1.7,4â€“2,1.9,Betis,,Estadio Ciudad de Valencia,Santiago Jaime
32,Sun,28/06/2020,17:00 (16:00),Villarreal,1.4,2â€“0,0.3,Valencia,,Estadio de la Cerámica,José González
32,Sun,28/06/2020,19:30 (18:30),Granada,1.2,1â€“2,1.7,Eibar,,Estadio Nuevo Los Cármenes,Carlos del Cerro
32,Sun,28/06/2020,22:00 (21:00),Espanyol,0.8,0â€“1,2.2,Real Madrid,,RCDE Stadium,Antonio Matéu Lahoz
32,Mon,29/06/2020,22:00 (21:00),Getafe,1.1,2â€“1,0.8,Real Sociedad,,Coliseum Alfonso Pérez,Adrián Cordero
33,Tue,30/06/2020,19:30 (18:30),Mallorca,1.5,5â€“1,1.5,Celta Vigo,,Iberostar Estadi,Ricardo de Burgos
33,Tue,30/06/2020,21:00 (20:00),Leganés,0.6,0â€“3,1.3,Sevilla,,Estadio Municipal de Butarque,César Soto
33,Tue,30/06/2020,22:00 (21:00),Barcelona,1.4,2â€“2,1.9,Atlético Madrid,,Camp Nou,Alejandro Hernández
33,Wed,01/07/2020,19:30 (18:30),Alavés,1.1,0â€“2,1.1,Granada,,Estadio de Mendizorroza,Eduardo Prieto
33,Wed,01/07/2020,19:30 (18:30),Valencia,1.3,0â€“2,0.7,Athletic Club,,Estadio de Mestalla,Javier Estrada
33,Wed,01/07/2020,22:00 (21:00),Valladolid,1.7,0â€“0,0.2,Levante,,Estadio Municipal José Zorrilla,David Medié
33,Wed,01/07/2020,22:00 (21:00),Betis,0.4,0â€“2,2.2,Villarreal,,Estadio Benito Villamarín, Jesús Gil
33,Thu,02/07/2020,19:30 (18:30),Real Sociedad,1.4,2â€“1,0.2,Espanyol,,Estadio Municipal de Anoeta,José Sánchez
33,Thu,02/07/2020,19:30 (18:30),Eibar,1,0â€“2,0.9,Osasuna,, Estadio Municipal de Ipurúa,José Luis Munuera
33,Thu,02/07/2020,22:00 (21:00),Real Madrid,1.6,1â€“0,0.3,Getafe,,Estadio Alfredo Di StÃ©fano,Juan Martínez
34,Fri,03/07/2020,22:00 (21:00),Atlético Madrid,3.4,3â€“0,0.8,Mallorca,,Estadio Wanda Metropolitano,Alberola Rojas
34,Sat,04/07/2020,17:00 (16:00),Celta Vigo,0.3,1â€“1,0.6,Betis,,Estadio de Balaídos, Pablo González
34,Sat,04/07/2020,19:30 (18:30),Valladolid,0.4,1â€“0,0.4,Alavés,,Estadio Municipal José Zorrilla,Santiago Jaime
34,Sat,04/07/2020,22:00 (21:00),Granada,1.9,2â€“2,0.6,Valencia,,Estadio Nuevo Los Cármenes,Adrián Cordero
34,Sun,05/07/2020,14:00 (13:00),Athletic Club,0.3,0â€“1,2.1,Real Madrid,,San Mamés,José González
34,Sun,05/07/2020,17:00 (16:00),Espanyol,0.4,0â€“1,0.4,Leganés,,RCDE Stadium,Guillermo Cuadra
34,Sun,05/07/2020,19:30 (18:30),Osasuna,0.5,0â€“0,0.2,Getafe,,Estadio El Sadar,Mario Melero
34,Sun,05/07/2020,22:00 (21:00),Villarreal,1,1â€“4,3,Barcelona,,Estadio de la Cerámica,Carlos del Cerro
34,Mon,06/07/2020,19:30 (18:30),Levante,0.7,1â€“1,1.1,Real Sociedad,,Estadio Ciudad de Valencia, Valentín Pizarro
34,Mon,06/07/2020,22:00 (21:00),Sevilla,1,1â€“0,1.4,Eibar,,Estadio Ramón Sánchez Pizjuán,Antonio Matéu Lahoz
